Datetime_hour,step,A/C Set Temperature__E-10南2,A/C Mode__E-10南2,A/C Fan Speed__E-10南2,A/C ON/OFF__E-10南2,A/C Set Temperature__E-11南3,A/C Mode__E-11南3,A/C Fan Speed__E-11南3,A/C ON/OFF__E-11南3,A/C Set Temperature__E-12南4,A/C Mode__E-12南4,A/C Fan Speed__E-12南4,A/C ON/OFF__E-12南4,A/C Set Temperature__E-13北1,A/C Mode__E-13北1,A/C Fan Speed__E-13北1,A/C ON/OFF__E-13北1,A/C Set Temperature__E-14北2,A/C Mode__E-14北2,A/C Fan Speed__E-14北2,A/C ON/OFF__E-14北2,A/C Set Temperature__E-15北3,A/C Mode__E-15北3,A/C Fan Speed__E-15北3,A/C ON/OFF__E-15北3,A/C Set Temperature__E-16北4,A/C Mode__E-16北4,A/C Fan Speed__E-16北4,A/C ON/OFF__E-16北4,A/C Set Temperature__E-9南1,A/C Mode__E-9南1,A/C Fan Speed__E-9南1,A/C ON/OFF__E-9南1,pred__indoor_temp__E-10南2,pred__indoor_temp__E-11南3,pred__indoor_temp__E-12南4,pred__indoor_temp__E-13北1,pred__indoor_temp__E-14北2,pred__indoor_temp__E-15北3,pred__indoor_temp__E-16北4,pred__indoor_temp__E-9南1,pred__total_kwh__49-1,pred__total_kwh__49-2,pred__total_kwh__49-3,pred__total_kwh__49-4,pred__total_kwh__49-6,pred__total_kwh__49-7,pred__total_kwh__49-8,reward,ret_so_far
2025-09-10 17:00:00,10,22,1,1,1,19.5,0,4,0,20.0,2,0,1,21.0,0,4,1,23.5,1,3,1,25.5,2,4,1,23,2,4,1,23,0,4,0,24.215885162353516,24.021089553833008,23.38787269592285,23.388891220092773,24.196409225463867,23.681848526000977,23.164653778076172,24.237449645996094,20103.56640625,18602.05078125,13618.69921875,2265.756103515625,4169.115234375,5913.06982421875,1108.7235107421875,-1.2867624759674072,-23.76726746559143
2025-09-10 18:00:00,11,22,1,1,1,19.5,0,4,0,20.0,2,0,1,21.0,0,2,1,23.5,1,3,1,25.5,2,4,1,23,2,4,1,23,0,4,1,24.098604202270508,23.932514190673828,23.247840881347656,23.22110366821289,24.07267189025879,23.50505828857422,23.138017654418945,24.0654354095459,20103.56640625,18189.654296875,12994.3623046875,2014.56201171875,7378.1865234375,5984.07275390625,1986.3643798828125,-1.1601557731628418,-24.927423238754272
2025-09-10 19:00:00,12,22,1,4,1,20.5,2,3,1,19.5,0,1,1,21.0,0,3,1,23.5,0,0,1,25.5,2,2,1,23,1,2,1,23,0,3,1,24.522300720214844,23.36248016357422,22.88581657409668,22.95907974243164,23.947120666503906,23.54429054260254,22.872159957885742,23.864036560058594,20931.283203125,22196.0703125,7341.36962890625,12372.556640625,6243.4873046875,7689.4775390625,2667.398193359375,-0.9946606159210205,-25.922083854675293
2025-09-10 20:00:00,13,22,1,4,1,20.5,1,3,1,19.5,0,1,1,21.5,2,3,1,23.5,0,0,1,25.0,0,2,1,23,1,2,1,23,0,3,1,24.1710205078125,23.23876953125,22.669076919555664,23.02947425842285,23.816926956176758,23.326772689819336,22.71197509765625,23.520647048950195,17425.76953125,9284.640625,6024.30908203125,13135.9833984375,15210.9384765625,7702.59912109375,2563.76708984375,-0.8105828762054443,-26.732666730880737
2025-09-10 21:00:00,14,22,1,4,1,20.5,1,3,1,19.5,0,1,1,21.5,2,3,1,23.5,0,0,1,24.0,0,2,1,23,1,2,1,23,0,3,1,23.879623413085938,23.022632598876953,22.897361755371094,22.897930145263672,23.963653564453125,23.103845596313477,22.48375701904297,23.428911209106445,17772.595703125,10432.76171875,6737.857421875,13858.1962890625,15280.50390625,7625.7099609375,3084.24755859375,-0.7137751579284668,-27.446441888809204
2025-09-10 22:00:00,15,22,1,4,1,20.5,1,3,1,19.5,0,1,1,21.5,2,3,1,23.5,0,0,1,24.0,0,2,1,23,1,2,1,23,0,3,1,24.335948944091797,23.106212615966797,23.14560890197754,23.097570419311523,24.0073184967041,23.08827018737793,22.65560531616211,23.66963005065918,18861.73046875,9563.767578125,9047.51171875,14503.96875,15306.544921875,7588.556640625,3882.517578125,-0.8882706165313721,-28.334712505340576
2025-09-10 23:00:00,16,22,1,4,1,20.5,1,3,1,19.5,0,1,1,21.5,2,3,1,23.5,0,0,1,24.0,0,2,1,23,1,2,1,23,0,3,1,24.478504180908203,23.154489517211914,23.173561096191406,23.154674530029297,24.351057052612305,23.25367546081543,23.02450942993164,23.677648544311523,19223.43359375,10063.68359375,9245.9853515625,14750.6083984375,15323.275390625,7360.712890625,3730.80126953125,-1.0335149765014648,-29.36822748184204
2025-09-11 00:00:00,17,22,1,4,1,20.5,1,3,1,19.5,0,1,1,21.5,2,3,1,23.5,0,0,1,24.0,0,2,1,23,1,2,1,23,0,3,1,25.435129165649414,24.765438079833984,24.385480880737305,24.931589126586914,26.642967224121094,24.068147659301758,23.914379119873047,25.311906814575195,22651.36328125,10797.6748046875,8429.341796875,16035.5966796875,16646.369140625,7125.18310546875,2354.822509765625,-2.431879758834839,-31.80010724067688
2025-09-11 01:00:00,18,22,1,4,1,20.5,1,3,1,19.5,0,1,1,21.5,2,3,1,23.5,0,0,1,24.0,0,2,1,23,1,2,1,23,0,3,1,25.937185287475586,24.99510955810547,24.764198303222656,25.46208953857422,27.022361755371094,24.39558982849121,23.96128273010254,25.57628059387207,22717.515625,11231.9130859375,8473.40625,15952.806640625,16400.7265625,7007.466796875,2329.59716796875,-2.7642621994018555,-34.564369440078735
2025-09-11 02:00:00,19,22,1,4,1,20.5,1,3,1,19.5,0,1,1,21.5,2,3,1,23.5,0,0,1,24.0,0,2,1,23,1,2,1,23,0,3,1,26.216650009155273,25.15338134765625,24.51845932006836,26.113170623779297,27.056352615356445,24.43924903869629,24.423274993896484,25.92531394958496,22717.515625,11287.2177734375,7872.5673828125,16012.15234375,16245.9482421875,7220.32666015625,2467.73388671875,-2.98073148727417,-37.545100927352905
2025-09-11 03:00:00,20,22,1,4,1,20.5,1,3,1,19.5,0,1,1,21.5,2,3,1,23.5,0,0,1,24.0,0,2,1,23,1,2,1,23,0,3,1,26.64497184753418,25.283489227294922,24.594799041748047,26.302492141723633,27.222492218017578,24.474641799926758,24.608261108398438,26.135730743408203,22717.515625,10932.578125,7828.67236328125,16387.60546875,16320.923828125,7508.7392578125,2538.15234375,-3.1583597660064697,-40.703460693359375
2025-09-11 04:00:00,21,22,1,4,1,20.5,1,3,1,19.5,0,1,1,21.5,2,3,1,23.5,0,0,1,24.0,0,2,1,23,1,2,1,23,0,3,1,26.66567039489746,25.21470069885254,24.69732093811035,26.51194953918457,27.25668716430664,24.475706100463867,24.770235061645508,25.953153610229492,22717.515625,10512.2548828125,7323.84765625,16514.111328125,15640.501953125,7225.2763671875,2585.77978515625,-3.1931779384613037,-43.89663863182068
2025-09-11 05:00:00,22,22,1,4,1,20.5,1,3,1,19.5,0,1,1,21.5,2,3,1,23.5,0,0,1,24.0,0,2,1,23,1,2,1,23,0,3,1,26.638734817504883,25.238910675048828,24.368135452270508,26.448482513427734,27.114656448364258,24.427623748779297,24.800397872924805,26.062259674072266,22216.037109375,10512.2548828125,7143.9365234375,16586.220703125,15594.0126953125,7783.6552734375,2585.77978515625,-3.1374001502990723,-47.03403878211975
2025-09-11 06:00:00,23,22,1,4,1,20.5,1,3,1,19.5,0,1,1,21.5,2,3,1,23.5,0,0,1,24.0,0,2,1,23,1,2,1,23,0,3,1,26.222274780273438,25.075786590576172,24.064910888671875,26.102449417114258,26.9139461517334,24.217926025390625,24.560455322265625,25.73044776916504,22216.037109375,10627.8681640625,6816.43359375,15921.958984375,15635.60546875,6694.25390625,2398.638671875,-2.8610246181488037,-49.895063400268555
